fecha,temp_max,temp_min,precipitacion_mm,condicion
2024-05-27,23.7,15.3,12.9,Moderate or heavy rain shower
2024-05-28,24.2,15.5,5.0,Heavy rain at times
2024-05-29,23.1,14.8,22.73,Moderate or heavy rain shower
2024-05-30,25.0,12.2,14.22,Moderate or heavy rain shower
2024-05-31,24.5,15.7,11.7,Patchy light rain with thunder
2024-06-01,28.2,14.7,0.0,Overcast
2024-06-02,28.2,15.1,4.4,Moderate or heavy rain shower
2024-06-03,25.9,14.8,12.8,Moderate or heavy rain shower
2024-06-04,24.6,14.5,12.14,Moderate or heavy rain shower
2024-06-05,24.9,13.7,4.4,Moderate or heavy rain shower
2024-06-06,24.8,14.2,2.4,Moderate or heavy rain shower
2024-06-07,24.4,14.6,0.5,Patchy rain possible
2024-06-08,25.7,14.8,9.72,Moderate or heavy rain shower
2024-06-09,24.0,14.7,15.59,Moderate or heavy rain shower
2024-06-10,23.7,15.7,19.7,Moderate or heavy rain shower
2024-06-11,23.5,15.8,7.7,Moderate or heavy rain shower
2024-06-12,25.6,16.0,0.7,Patchy rain possible
2024-06-13,25.8,14.7,7.7,Moderate or heavy rain shower
2024-06-14,23.0,14.1,9.6,Moderate or heavy rain shower
2024-06-15,21.3,14.8,13.4,Moderate or heavy rain shower
2024-06-16,22.1,15.0,7.7,Moderate or heavy rain shower
2024-06-17,26.3,14.1,0.1,Patchy rain possible
2024-06-18,24.0,13.9,15.1,Moderate or heavy rain shower
2024-06-19,23.6,13.7,13.7,Moderate or heavy rain shower
2024-06-20,23.4,14.6,6.5,Moderate or heavy rain shower
2024-06-21,24.2,13.8,2.3,Heavy rain at times
2024-06-22,23.9,14.1,7.3,Moderate or heavy rain shower
2024-06-23,23.7,15.4,16.12,Moderate or heavy rain shower
2024-06-24,23.7,15.1,11.55,Moderate or heavy rain shower
2024-06-25,24.2,15.6,10.9,Heavy rain at times
2024-06-26,24.7,14.1,29.29,Moderate or heavy rain shower
2024-06-27,22.9,14.0,21.5,Moderate or heavy rain shower
2024-06-28,20.6,14.0,9.9,Heavy rain at times
2024-06-29,23.7,13.8,4.0,Moderate or heavy rain shower
2024-06-30,26.5,13.6,10.7,Moderate or heavy rain shower
2024-07-01,25.8,14.7,7.3,Moderate or heavy rain shower
2024-07-02,24.1,14.4,12.7,Moderate or heavy rain shower
2024-07-03,25.0,13.9,9.7,Moderate or heavy rain shower
2024-07-04,23.5,14.4,15.5,Moderate or heavy rain shower
2024-07-05,20.4,14.5,26.32,Heavy rain at times
2024-07-06,24.1,14.2,5.9,Moderate or heavy rain shower
2024-07-07,26.4,14.1,0.0,Overcast
2024-07-08,26.5,13.3,0.1,Patchy rain possible
2024-07-09,26.0,13.7,0.3,Patchy rain possible
2024-07-10,25.0,13.7,0.7,Patchy rain possible
2024-07-11,24.7,13.8,0.2,Patchy rain possible
2024-07-12,24.1,14.4,2.9,Moderate rain at times
2024-07-13,25.0,13.6,0.2,Overcast
2024-07-14,27.7,12.8,0.5,Patchy rain possible
2024-07-15,27.9,13.5,0.9,Patchy rain possible
2024-07-16,27.9,14.0,0.2,Overcast
2024-07-17,26.9,13.9,0.1,Patchy rain possible
2024-07-18,27.1,13.5,0.3,Patchy rain possible
2024-07-19,26.0,13.5,5.7,Moderate or heavy rain shower
2024-07-20,27.2,12.8,0.1,Patchy rain possible
2024-07-21,26.1,12.9,4.4,Moderate or heavy rain shower
2024-07-22,25.6,13.3,1.9,Moderate rain at times
2024-07-23,27.5,13.5,0.0,Overcast
2024-07-24,28.3,12.7,0.7,Patchy rain possible
2024-07-25,27.8,13.3,0.6,Overcast
2024-07-26,26.5,14.5,1.8,Patchy rain possible
2024-07-27,25.5,14.1,0.9,Patchy rain possible
2024-07-28,27.3,13.9,0.2,Overcast
2024-07-29,27.4,13.7,0.3,Patchy rain possible
2024-07-30,27.0,10.1,0.2,Patchy rain possible
2024-07-31,27.0,10.1,0.74,Patchy rain possible
2024-08-01,26.2,13.7,0.0,Overcast
2024-08-02,25.3,13.0,0.0,Cloudy
2024-08-03,25.4,13.7,4.6,Moderate or heavy rain shower
2024-08-04,25.5,13.6,3.3,Moderate or heavy rain shower
2024-08-05,26.2,14.0,19.9,Moderate or heavy rain shower
2024-08-06,23.7,13.8,14.9,Moderate or heavy rain shower
2024-08-07,22.8,14.3,8.98,Moderate or heavy rain shower
2024-08-08,24.3,13.9,6.2,Moderate or heavy rain shower
2024-08-09,23.9,13.7,9.38,Moderate or heavy rain shower
2024-08-10,25.3,14.0,5.2,Moderate rain at times
2024-08-11,24.3,12.7,9.0,Moderate or heavy rain shower
2024-08-12,26.0,13.1,4.5,Patchy rain possible
2024-08-13,24.3,14.1,7.1,Patchy rain possible
2024-08-14,26.4,15.4,1.4,Overcast
2024-08-15,28.1,13.8,0.0,Cloudy
2024-08-16,26.7,14.4,6.5,Moderate or heavy rain shower
2024-08-17,28.0,13.6,0.2,Overcast
2024-08-18,28.3,13.5,0.4,Partly cloudy
2024-08-19,27.9,14.5,0.2,Patchy rain possible
2024-08-20,27.0,14.8,0.9,Cloudy
2024-08-21,26.4,14.3,2.4,Patchy rain possible
2024-08-22,26.0,14.2,13.4,Moderate or heavy rain shower
2024-08-23,25.4,14.3,5.6,Heavy rain at times
2024-08-24,24.4,13.8,6.9,Patchy rain possible
2024-08-25,23.9,15.7,16.0,Moderate or heavy rain shower
2024-08-26,26.3,14.9,0.4,Patchy rain possible
2024-08-27,26.4,14.1,0.2,Patchy rain possible
2024-08-28,26.8,14.7,0.5,Patchy rain possible
2024-08-29,27.5,15.6,1.2,Moderate rain at times
2024-08-30,27.0,13.2,0.99,Overcast
2024-08-31,27.4,11.8,8.48,Patchy light rain with thunder
2024-09-01,25.2,15.6,9.8,Moderate or heavy rain shower
2024-09-02,25.3,14.9,1.8,Patchy rain possible
2024-09-03,26.9,15.4,10.2,Moderate or heavy rain shower
2024-09-04,27.6,15.9,1.9,Patchy rain possible
2024-09-05,28.0,16.1,4.4,Patchy rain possible
2024-09-06,27.1,13.7,0.0,Overcast
2024-09-07,27.1,13.2,0.2,Overcast
2024-09-08,27.7,14.4,2.3,Heavy rain at times
2024-09-09,28.2,14.0,0.0,Partly cloudy
2024-09-10,28.6,13.8,1.0,Cloudy
2024-09-11,27.3,14.3,0.6,Overcast
2024-09-12,27.8,14.9,4.4,Patchy rain possible
2024-09-13,27.3,14.9,0.7,Patchy rain possible
2024-09-14,28.4,14.8,0.8,Patchy rain possible
2024-09-15,29.1,15.1,1.2,Overcast
2024-09-16,29.1,14.9,2.8,Moderate rain at times
2024-09-17,29.6,15.9,1.1,Cloudy
2024-09-18,30.2,15.7,0.1,Patchy rain possible
2024-09-19,28.0,15.7,2.5,Moderate or heavy rain shower
2024-09-20,27.1,15.5,7.0,Heavy rain at times
2024-09-21,26.1,14.9,5.4,Moderate rain at times
2024-09-22,24.8,14.1,11.7,Moderate or heavy rain shower
2024-09-23,23.4,14.4,1.5,Patchy rain possible
2024-09-24,28.0,13.8,0.1,Patchy rain possible
2024-09-25,25.7,13.9,0.9,Patchy rain possible
2024-09-26,22.0,13.7,5.0,Moderate or heavy rain shower
2024-09-27,25.9,14.5,16.1,Moderate or heavy rain shower
2024-09-28,23.6,14.7,10.7,Moderate or heavy rain shower
2024-09-29,20.4,10.1,6.05,Moderate rain at times
2024-09-30,24.2,9.4,10.82,Light rain shower
2024-10-01,25.1,13.0,15.3,Moderate or heavy rain shower
2024-10-02,23.7,12.7,16.1,Moderate or heavy rain shower
2024-10-03,25.1,13.4,0.5,Patchy rain possible
2024-10-04,25.7,13.2,12.84,Moderate or heavy rain shower
2024-10-05,24.9,13.2,1.2,Moderate rain at times
2024-10-06,24.0,14.3,22.24,Moderate or heavy rain shower
2024-10-07,24.3,13.3,27.64,Moderate or heavy rain shower
2024-10-08,22.2,14.6,26.18,Moderate or heavy rain shower
2024-10-09,23.3,14.2,7.6,Moderate or heavy rain shower
2024-10-10,21.2,13.8,17.41,Moderate or heavy rain shower
2024-10-11,24.1,14.1,0.5,Patchy rain possible
2024-10-12,25.8,13.7,0.7,Patchy rain possible
2024-10-13,25.6,14.0,0.0,Overcast
2024-10-14,26.0,13.7,0.4,Cloudy
2024-10-15,22.9,13.7,8.86,Moderate or heavy rain shower
2024-10-16,25.8,13.5,1.1,Patchy rain possible
2024-10-17,25.3,13.5,1.1,Moderate rain at times
2024-10-18,25.1,14.7,0.8,Patchy rain possible
2024-10-19,24.7,13.9,16.7,Moderate or heavy rain shower
2024-10-20,25.4,13.5,16.18,Moderate or heavy rain shower
2024-10-21,24.1,13.8,11.8,Moderate or heavy rain shower
2024-10-22,21.5,15.2,15.77,Moderate or heavy rain shower
2024-10-23,24.7,14.2,3.1,Moderate or heavy rain shower
2024-10-24,25.0,14.2,8.6,Moderate or heavy rain shower
2024-10-25,25.3,14.2,0.4,Patchy rain possible
2024-10-26,26.2,15.4,0.7,Patchy rain possible
2024-10-27,25.8,15.8,21.4,Moderate or heavy rain shower
2024-10-28,25.7,16.4,5.87,Moderate rain at times
2024-10-29,25.1,11.8,0.99,Overcast
2024-10-30,23.6,10.7,24.61,Moderate or heavy rain shower
2024-10-31,17.3,9.2,19.27,Light rain
2024-11-01,22.5,12.8,20.1,Moderate or heavy rain shower
2024-11-02,24.5,14.3,1.7,Patchy rain possible
2024-11-03,24.6,13.2,2.5,Moderate rain at times
2024-11-04,24.2,13.2,7.2,Moderate or heavy rain shower
2024-11-05,24.5,12.5,7.8,Moderate or heavy rain shower
2024-11-06,24.0,13.8,5.7,Moderate or heavy rain shower
2024-11-07,23.1,14.8,16.1,Moderate or heavy rain shower
2024-11-08,22.5,13.5,46.6,Moderate or heavy rain shower
2024-11-09,22.7,13.5,13.3,Moderate or heavy rain shower
2024-11-10,22.0,13.7,32.3,Moderate or heavy rain shower
2024-11-11,18.9,13.1,6.5,Moderate or heavy rain shower
2024-11-12,22.2,13.1,14.81,Moderate or heavy rain shower
2024-11-13,23.3,14.8,14.7,Moderate or heavy rain shower
2024-11-14,23.4,15.6,11.2,Moderate or heavy rain shower
2024-11-15,22.9,15.9,2.1,Patchy rain possible
2024-11-16,21.7,14.0,8.7,Moderate or heavy rain shower
2024-11-17,22.2,13.8,3.7,Moderate or heavy rain shower
2024-11-18,22.3,13.6,6.2,Moderate or heavy rain shower
2024-11-19,19.9,12.6,24.06,Moderate or heavy rain shower
2024-11-20,21.9,13.1,16.6,Moderate or heavy rain shower
2024-11-21,23.2,14.8,15.52,Moderate or heavy rain shower
2024-11-22,22.5,14.8,25.63,Moderate or heavy rain shower
2024-11-23,21.1,13.6,10.1,Moderate or heavy rain shower
2024-11-24,23.9,13.5,2.7,Moderate rain at times
2024-11-25,23.5,13.8,0.4,Overcast
2024-11-26,23.8,14.0,3.6,Moderate rain at times
2024-11-27,22.0,13.9,5.9,Moderate rain at times
2024-11-28,22.9,13.0,0.8,Patchy rain possible
2024-11-29,22.4,10.2,8.88,Moderate or heavy rain shower
2024-11-30,21.4,10.0,9.1,Light drizzle
2024-12-01,25.7,13.8,0.7,Patchy rain possible
2024-12-02,24.3,13.2,4.6,Moderate or heavy rain shower
2024-12-03,23.9,13.7,2.1,Moderate rain at times
2024-12-04,24.5,13.7,1.6,Moderate rain at times
2024-12-05,23.3,13.5,3.6,Moderate rain at times
2024-12-06,22.9,13.1,3.7,Moderate or heavy rain shower
2024-12-07,24.8,12.1,0.0,Overcast
2024-12-08,26.3,12.5,0.0,Overcast
2024-12-09,25.4,14.5,0.3,Patchy rain possible
2024-12-10,25.5,13.3,2.3,Moderate rain at times
2024-12-11,26.4,13.1,1.0,Patchy rain possible
2024-12-12,25.6,13.4,0.6,Patchy rain possible
2024-12-13,24.7,13.6,0.2,Patchy rain possible
2024-12-14,22.4,13.3,1.8,Patchy rain possible
2024-12-15,23.0,14.0,9.1,Moderate or heavy rain shower
2024-12-16,23.4,13.6,11.0,Moderate or heavy rain shower
2024-12-17,23.0,13.2,1.0,Moderate rain at times
2024-12-18,23.8,13.2,5.2,Moderate or heavy rain shower
2024-12-19,24.5,13.0,0.8,Patchy rain possible
2024-12-20,25.5,13.7,2.6,Moderate or heavy rain shower
2024-12-21,24.4,14.0,9.3,Moderate or heavy rain shower
2024-12-22,21.4,13.0,5.8,Moderate or heavy rain shower
2024-12-23,24.1,14.5,8.8,Moderate or heavy rain shower
2024-12-24,22.5,13.7,6.5,Moderate or heavy rain shower
2024-12-25,23.4,13.2,9.15,Moderate or heavy rain shower
2024-12-26,24.7,13.0,10.4,Moderate or heavy rain shower
2024-12-27,23.3,13.8,17.76,Moderate or heavy rain shower
2024-12-28,22.9,12.9,6.5,Moderate or heavy rain shower
2024-12-29,21.1,13.8,11.8,Moderate or heavy rain shower
2024-12-30,21.4,9.4,11.49,Moderate or heavy rain shower
2024-12-31,24.3,10.8,4.53,Light rain shower
